CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
0.00632,18.0,2.31,0,0.538,6.575,65.2,4.09,1,296.0,15.3,396.9,4.98,24.0
0.02731,0.0,7.07,0,0.469,6.421,78.9,4.9671,2,242.0,17.8,396.9,9.14,21.6
0.02729,0.0,7.07,0,0.469,7.185,61.1,4.9671,2,242.0,17.8,392.83,4.03,34.7
0.03237,0.0,2.18,0,0.458,6.998,45.8,6.0622,3,222.0,18.7,394.63,2.94,33.4
0.06905,0.0,2.18,0,0.458,7.147,54.2,6.0622,3,222.0,18.7,396.9,5.33,36.2
7.871741715896601,33.22826114075939,20.515616968784812,0,0.36149486175178014,5.3902931341506815,56.346556663212894,5.232345929131526,4,589.8354506912679,19.873433504627453,396.3492135078812,17.033675346360855,16.182735275605474
2.4109270099278124,56.82599937128313,17.28750904380683,0,0.4147879037308234,6.880812692515422,36.35805850686998,4.064973597690131,4,196.5863084650933,15.364608918098448,365.2192357731339,13.32849475093392,17.793416112102058
9.170121427665956,0.0,11.405486515457184,0,0.40672899923211336,6.8679775881441145,55.399639976117214,3.3328027167656424,8,199.9074506448353,14.522008570433648,283.8432289554709,10.800164578848522,34.217718498000025
16.69805676510902,24.5112616805737,6.600829911602098,0,0.5671531713716449,5.496215697873167,103.20017807215204,8.098410611011072,2,569.3770878231094,21.101707589953755,579.9506565516749,9.452364213609142,15.20565483333467
1.5862809773793107,0.0,15.747918532572411,0,0.757901799938211,6.873144350628403,53.01061756354575,2.38263856053984,0,176.9621801823494,14.145543733318974,423.4088304437828,21.174908772032616,29.523631268783184
1.5864221702370473,0.0,13.675700620867897,0,0.8177560175431159,7.376552342888787,78.03670130986937,2.953540422963435,2,377.93078184619594,18.173974208958466,367.56324017571956,12.57908733366279,33.30253111854576
17.181230213363566,0.0,17.08731389618858,0,0.6265661321728909,5.51421863562891,47.533224279966745,7.982261934629942,6,381.34660117720597,17.69105488232087,309.2613714985315,24.41757858071338,26.90247889017911
10.199938670715015,0.0,15.319168251437393,0,0.6101013369933349,5.657748025290015,89.22181179786135,2.052671259815301,5,444.5533621056177,17.4876678843119,442.70113171667134,12.944036907304158,9.206944628728813
